observation_date,RSGASS
2018-07-01,43996
2018-08-01,44681
2018-09-01,44178
2018-10-01,45871
2018-11-01,43530
2018-12-01,41031
2019-01-01,40002
2019-02-01,41491
2019-03-01,43205
2019-04-01,44734
2019-05-01,43911
2019-06-01,42168
2019-07-01,42831
2019-08-01,42803
2019-09-01,42444
2019-10-01,42961
2019-11-01,42884
2019-12-01,44150
2020-01-01,43402
2020-02-01,41481
2020-03-01,35024
2020-04-01,27076
2020-05-01,30045
2020-06-01,33866
2020-07-01,35471
2020-08-01,36328
2020-09-01,36584
2020-10-01,36510
2020-11-01,35533
2020-12-01,38879
2021-01-01,40944
2021-02-01,41744
2021-03-01,46437
2021-04-01,45214
2021-05-01,45585
2021-06-01,46655
2021-07-01,47502
2021-08-01,48620
2021-09-01,50151
2021-10-01,51883
2021-11-01,52934
2021-12-01,54338
2022-01-01,53670
2022-02-01,56028
2022-03-01,63183
2022-04-01,63821
2022-05-01,66679
2022-06-01,67937
2022-07-01,66021
2022-08-01,61054
2022-09-01,58395
2022-10-01,60478
2022-11-01,59627
2022-12-01,56526
2023-01-01,56394
2023-02-01,55233
2023-03-01,54863
2023-04-01,53994
2023-05-01,52560
2023-06-01,52180
2023-07-01,52074
2023-08-01,55612
2023-09-01,57621
2023-10-01,55546
2023-11-01,53574
2023-12-01,53041
2024-01-01,52376
2024-02-01,53397
2024-03-01,53801
2024-04-01,54663
2024-05-01,53440
2024-06-01,52340
2024-07-01,52625
2024-08-01,52164
2024-09-01,51412
2024-10-01,51506
2024-11-01,51588
2024-12-01,52380
