observation_date,MRTSSM443USS
2018-07-01,7843
2018-08-01,7898
2018-09-01,7753
2018-10-01,7797
2018-11-01,7770
2018-12-01,7669
2019-01-01,7711
2019-02-01,7615
2019-03-01,7630
2019-04-01,7467
2019-05-01,7624
2019-06-01,7570
2019-07-01,7607
2019-08-01,7560
2019-09-01,7560
2019-10-01,7500
2019-11-01,7534
2019-12-01,7584
2020-01-01,7429
2020-02-01,7327
2020-03-01,6005
2020-04-01,3364
2020-05-01,4137
2020-06-01,5834
2020-07-01,6652
2020-08-01,6754
2020-09-01,6565
2020-10-01,6998
2020-11-01,6730
2020-12-01,6471
2021-01-01,7286
2021-02-01,6982
2021-03-01,8190
2021-04-01,8255
2021-05-01,8088
2021-06-01,8410
2021-07-01,8270
2021-08-01,7962
2021-09-01,7854
2021-10-01,8349
2021-11-01,7458
2021-12-01,7410
2022-01-01,7454
2022-02-01,7580
2022-03-01,8216
2022-04-01,8459
2022-05-01,8056
2022-06-01,7864
2022-07-01,7984
2022-08-01,7895
2022-09-01,7835
2022-10-01,7800
2022-11-01,7176
2022-12-01,7087
2023-01-01,8032
2023-02-01,7723
2023-03-01,7788
2023-04-01,7622
2023-05-01,7711
2023-06-01,7771
2023-07-01,7576
2023-08-01,7647
2023-09-01,7798
2023-10-01,7767
2023-11-01,7553
2023-12-01,7320
2024-01-01,7597
2024-02-01,7814
2024-03-01,7611
2024-04-01,7810
2024-05-01,7938
2024-06-01,7821
2024-07-01,7831
2024-08-01,7640
2024-09-01,7421
2024-10-01,7646
2024-11-01,7711
